"","Prime_treatment","Date","N","Percent_Survival","sd","se","ci","Day"
"1","0_hours",20251010,3,99.0196078431373,1.69808902702831,0.980392156862744,4.21828698995045,0
"2","0_hours",20251011,3,99.0196078431373,1.69808902702831,0.980392156862744,4.21828698995045,1
"3","0_hours",20251012,3,53.921568627451,11.13511440353,6.4288612983353,27.661157614463,2
"4","0_hours",20251013,3,19.6078431372549,11.8866231891982,6.86274509803922,29.5280089296532,3
"5","0_hours",20251014,3,1.96078431372549,3.39617805405662,1.96078431372549,8.4365739799009,4
"6","0_hours",20251015,3,NA,NA,NA,NA,NA
"7","0_hours",20251016,3,NA,NA,NA,NA,NA
"8","6_hours",20251010,3,100,0,0,0,0
"9","6_hours",20251011,3,96.9994058229352,3.0307398937134,1.74979849347917,7.52877526447965,1
"10","6_hours",20251012,3,47.07410236822,35.6551534100976,20.5855124193173,88.5723112042669,2
"11","6_hours",20251013,3,20.7138613020966,8.11810536525132,4.68699031793759,20.1664916857835,3
"12","6_hours",20251014,3,0,0,0,0,4
"13","6_hours",20251015,3,NA,NA,NA,NA,NA
"14","6_hours",20251016,3,NA,NA,NA,NA,NA
"15","24_hours",20251010,3,100,0,0,0,0
"16","24_hours",20251011,3,95.6140350877193,7.59671406828454,4.3859649122807,18.8712839024099,1
"17","24_hours",20251012,3,30.7705538355693,6.21476989949665,3.58809907442598,15.4383442771904,2
"18","24_hours",20251013,3,13.0403623437679,2.21521830480544,1.27895688459321,5.50290733072682,3
"19","24_hours",20251014,3,3.81836945304438,4.52990304513697,2.61534074251273,11.2529029849974,4
"20","24_hours",20251015,3,NA,NA,NA,NA,NA
"21","24_hours",20251016,3,NA,NA,NA,NA,NA
"22","72_hours",20251010,3,100,0,0,0,0
"23","72_hours",20251011,3,100,0,0,0,1
"24","72_hours",20251012,3,63.7254901960784,21.276994523736,12.2842785158252,52.8549844891178,2
"25","72_hours",20251013,3,28.9760348583878,6.54683189599857,3.779815157494,16.26323200534,3
"26","72_hours",20251014,3,6.64488017429194,4.13799998109424,2.38907540299143,10.2793618042584,4
"27","72_hours",20251015,3,-0.980392156862745,1.69808902702831,0.980392156862745,4.21828698995045,NA
"28","72_hours",20251016,3,NA,NA,NA,NA,NA
