"","Prime_treatment","Date","N","Percent_Survival","sd","se","ci","Day"
"1","0_hours",20251024,3,99.0740740740741,1.60375074774896,0.925925925925929,3.98393771273099,0
"2","0_hours",20251025,3,68.8997821350763,12.5852356176874,7.26608917168669,31.2634584091607,1
"3","0_hours",20251026,3,20.6971677559913,6.1515502847475,3.55159921283249,15.2812980480697,2
"4","0_hours",20251027,3,2.77777777777778,4.81125224324688,2.77777777777778,11.9518131381929,3
"5","0_hours",20251028,3,1.85185185185185,3.20750149549792,1.85185185185185,7.96787542546197,4
"6","6_hours",20251024,2,100,0,0,0,0
"7","6_hours",20251025,2,69.9324324324324,7.16662278229609,5.06756756756756,64.3895510279123,1
"8","6_hours",20251026,2,20.4204204204204,13.1653514815513,9.30930930930931,118.285990036461,2
"9","6_hours",20251027,2,6.83183183183183,1.80492721924494,1.27627627627628,16.216627666289,3
"10","6_hours",20251028,2,6.83183183183183,1.80492721924494,1.27627627627628,16.216627666289,4
"11","24_hours",20251024,2,100,0,0,0,0
"12","24_hours",20251025,2,75.4084967320262,15.1357824077513,10.702614379085,135.989609512981,1
"13","24_hours",20251026,2,12.8267973856209,1.5020242084028,1.06209150326797,13.4951520890744,2
"14","24_hours",20251027,2,1.38888888888889,1.96418550329597,1.38888888888889,17.6475065780204,3
"15","24_hours",20251028,2,0,0,0,0,4
"16","72_hours",20251024,3,100,0,0,0,0
"17","72_hours",20251025,3,71.8767507002801,25.0450245406722,14.4597516604179,62.2152899531963,1
"18","72_hours",20251026,3,32.6330532212885,30.4710022977208,17.5924413790668,75.6941659225991,2
"19","72_hours",20251027,3,10.4761904761905,18.1452941745311,10.4761904761905,45.0754095497563,3
"20","72_hours",20251028,3,8.57142857142857,14.8461497791618,8.57142857142857,36.8798805407097,4
